MSRP;sedan;hatch;convert;minivan;miniSUV;SUV;wagon;subcom;compact;fullsize;luxury;sport;city;high;length;width;height;weight;luggage;horse;Cyl;Disp;fuel;AWD;FWD;4WD
45900;1;0;0;0;0;0;0;0;0;0;1;0;18;23;189,2;70,9;55,9;3715;14,8;300;8;4,3;19,8;0;0;0
31350;1;0;0;0;0;0;0;0;0;0;1;0;18;25;176,6;67,9;55,5;3285;10,1;215;6;3;17,5;0;0;0
54980;1;0;0;0;0;0;0;0;0;0;1;0;18;25;196,7;72;58,7;3955;20,2;290;8;4,3;20,2;0;0;0
39560;1;0;0;0;0;0;0;0;0;0;1;0;17;25;208,5;73,6;56;3848;18,4;275;8;4,6;20;0;1;0
35140;1;0;0;0;0;0;0;0;0;0;1;0;18;25;193,9;73,2;56,1;3640;13,5;220;6;3;18;0;0;0
45495;1;0;0;0;0;0;0;0;0;0;1;0;17;23;215,3;78,2;58;4121;20,6;235;8;4,6;19;0;0;0
51965;1;0;0;0;0;0;0;0;0;0;1;0;20;27;189,4;70,8;56,7;3823;15,3;221;6;3,2;21,1;1;0;0
72515;1;0;0;0;0;0;0;0;0;0;1;0;17;24;203,1;73,1;56,9;4133;15,4;275;8;4,3;23,2;0;0;0
39275;1;0;0;0;0;0;0;0;0;0;1;0;21;31;190;70,5;57;3470;15,9;250;4;2,3;18,5;0;1;0
34000;1;0;0;0;0;0;0;0;0;0;1;0;19;26;180,2;71;56,2;3146;13,9;190;5;2,4;18,5;1;0;0
39075;1;0;0;0;0;0;0;0;0;0;1;0;19;27;189,8;72,1;57,2;3583;14,4;194;6;2,9;21,1;0;1;0
21170;1;0;0;0;0;0;0;0;0;0;0;0;20;29;194,6;72,7;56,6;3353;16,7;175;6;3,1;17,5;0;1;0
28120;1;0;0;0;0;0;0;0;0;0;0;0;18;27;196,2;72,7;56,6;3543;16,7;240;6;3,8;17,5;0;1;0
20575;1;0;0;0;0;0;0;0;0;0;0;0;20;29;190,4;69,4;56,4;3053;17,1;170;6;3,1;14,3;0;1;0
19715;1;0;0;0;0;0;0;0;0;0;0;0;20;28;190,7;70,6;54,9;3201;16;200;6;2,7;16;0;1;0
19094;1;0;0;0;0;0;0;0;0;0;0;0;20;28;183,9;70;56,6;3157;14,1;131;4;2,2;15,8;0;1;0
21640;1;0;0;0;0;0;0;0;0;0;0;0;20;28;191,2;70,6;54,9;3269;16;200;6;2,7;16;0;1;0
19685;1;0;0;0;0;0;0;0;0;0;0;0;20;28;197,6;73;56,1;3355;17;165;6;3;18;0;1;0
15960;1;0;0;0;0;0;0;0;0;0;0;0;26;32;189,4;70,3;56,9;2943;14,1;135;4;2,3;17,1;0;1;0
17494;1;0;0;0;0;0;0;0;0;0;0;0;20;27;185,4;71,6;55,5;3069;14,1;181;6;2,7;17,2;0;1;0
26094;1;0;0;0;0;0;0;0;0;0;0;0;18;26;191,5;71,9;55,9;3651;14,5;194;6;3,5;18,5;0;1;0
15394;1;0;0;0;0;0;0;0;0;0;0;0;21;28;186,2;71,7;55,5;3157;13;149;4;2,4;17,2;0;1;0
22405;1;0;0;0;0;0;0;0;0;0;0;0;21;27;187,4;69,3;55,1;3023;14,2;165;6;2,5;16,9;0;1;0
28595;1;0;0;0;0;0;0;0;0;0;0;0;20;27;191,6;69,7;54,9;3358;13,3;170;6;2,5;18;0;1;0
20670;1;0;0;0;0;0;0;0;0;0;0;0;20;26;199,8;73;55,5;3338;16;157;6;3;18;0;1;0
26247;1;0;0;0;0;0;0;0;0;0;0;0;18;25;194,1;70,3;53,9;3461;14,2;205;6;3,5;19;0;1;0
17189;1;0;0;0;0;0;0;0;0;0;0;0;23;29;191,5;70,4;57,9;2983;15,6;175;4;2,5;20;0;1;0
27639;1;0;0;0;0;0;0;0;0;0;0;0;20;26;191,5;70,3;57,1;3275;15,1;255;6;3,5;18,5;0;1;0
32310;1;0;0;0;0;0;0;0;0;0;0;0;18;27;199,3;72,9;56,7;3686;14,9;215;6;3,5;18,5;0;1;0
25215;1;0;0;0;0;0;0;0;0;0;0;0;20;30;195,9;73,6;56,6;3434;16,4;215;6;3,5;17;0;1;0
23985;1;0;0;0;0;0;0;0;0;0;0;0;19;29;196,5;72,7;54,7;3496;16;200;6;3,8;17,5;0;1;0
23420;1;0;0;0;0;0;0;0;0;0;0;0;21;27;184,4;68,7;55,7;3345;12,4;165;4;2,5;16,9;1;0;0
28520;1;0;0;0;0;0;0;0;0;0;0;0;20;26;184,4;68,7;58,3;3610;12,4;212;6;3;16,9;1;0;0
19455;1;0;0;0;0;0;0;0;0;0;0;0;24;33;189,2;70,7;57,9;3086;16,7;157;4;2,4;18,5;0;1;0
24800;1;0;0;0;0;0;0;0;0;0;0;0;20;28;185,2;68,7;57,6;3291;15;190;6;2,8;16,4;0;1;0
36728;0;0;0;0;0;1;0;0;0;1;0;0;14;18;219,3;78,8;75,6;4914;45,7;285;8;5,3;31;0;0;0
36725;0;0;0;0;0;1;0;0;0;1;0;0;14;17;196,9;78,9;76,3;5050;63,6;275;8;4,8;26;0;0;1
41825;0;0;0;0;0;1;0;0;0;1;0;0;12;16;205,8;78,7;78,4;5468;60,9;260;8;5,4;30;0;0;1
34846;0;0;0;0;0;1;0;0;0;1;0;0;15;19;198,9;78,9;76,7;4875;63,6;275;8;4,8;26;0;0;0
53105;0;0;0;0;0;1;0;0;0;1;0;0;13;16;192,5;76,4;73,2;5115;20,8;230;8;4,7;25,4;0;0;1
39915;0;0;0;0;0;1;0;0;0;1;0;0;14;18;203,9;78;75,8;5100;27,8;240;8;4,7;26,1;0;0;0
39545;0;0;0;0;0;1;0;0;0;0;1;0;15;21;183,7;73,7;67,5;4533;16,1;225;6;3;24,3;1;0;0
37800;0;0;0;0;0;1;0;0;0;0;1;0;17;23;188,5;76,3;68,7;4392;14,8;240;6;3,5;19,2;0;0;1
53000;0;0;0;0;0;1;0;0;0;0;1;0;12;15;198,9;78,9;76,5;5560;16,3;345;8;6;26;1;0;0
34695;0;0;0;0;0;1;0;0;0;0;1;0;15;19;183,1;72,4;70,7;4074;38;240;6;3,5;21,1;0;0;0
33995;0;0;0;0;0;1;0;0;0;0;1;0;13;17;185,2;74,4;76,4;4576;40,5;188;8;4;24,6;0;0;1
28400;0;0;0;0;0;1;0;0;0;0;1;0;17;21;175;71,1;62,9;3585;19,3;175;5;2,5;15,6;1;0;0
68665;0;0;0;0;0;1;0;0;0;0;1;0;12;15;185,5;74,4;71,6;4960;31;222;8;4,6;24,6;1;0;0
62430;0;0;0;0;0;1;0;0;0;0;1;0;13;16;192,5;76,4;72,8;5401;19,1;230;8;4,7;25,4;0;0;1
34530;0;0;0;0;0;1;0;0;0;0;1;0;19;23;180,3;71,5;65,7;3715;39,8;220;6;3;19,8;0;1;0
49080;0;0;0;0;0;1;0;0;0;0;1;0;12;16;204,8;79,9;76,7;5723;14,8;300;8;5,4;30;0;0;1
73165;0;0;0;0;0;1;0;0;0;0;1;0;12;14;185,6;71,3;77,8;5423;45,2;292;8;5;25,4;1;0;0
36965;0;0;0;0;0;1;0;0;0;0;1;0;15;19;182,6;72,4;71,7;4786;34,7;215;6;3,2;22,6;1;0;0
26145;0;0;0;0;0;1;0;0;0;0;0;0;19;26;186,5;73,6;68,9;4024;54,5;185;6;3,4;18;0;1;0
23480;0;0;0;0;0;1;0;0;0;0;0;0;14;17;177,3;67,8;64,7;3884;29,8;190;6;4,3;19;0;0;1
31660;0;0;0;0;0;1;0;0;0;0;0;0;15;20;207,8;74,7;77,1;4836;22,3;270;6;4,2;25,5;0;0;0
37545;0;0;0;0;0;1;0;0;0;0;0;0;12;16;193,5;71,3;72;4726;18,8;245;8;5,9;25;0;0;1
35135;0;0;0;0;0;1;0;0;0;0;0;0;15;20;189,5;72,1;71,9;4344;46,6;210;6;4;22,5;0;0;1
23680;0;0;0;0;0;1;0;0;0;0;0;0;17;21;180,4;70,2;68,2;3769;35,5;203;6;4;16,8;0;0;0
32425;0;0;0;0;0;1;0;0;0;0;0;0;15;21;191,6;74,7;71,9;4600;39,8;270;6;4,2;18,7;0;0;1
34095;0;0;0;0;0;1;0;0;0;0;0;0;15;21;207,6;74,7;75,5;5020;22,3;270;6;4,2;25,5;0;0;1
27560;0;0;0;0;0;1;0;0;0;0;0;0;17;21;178,2;70,4;68,8;3842;33;205;6;3,2;19,5;0;0;0
